"id","Value","area","ratio","rValue"
1,70141.515625,0.00417027690575004,0.0667244304920006,4680.15268392388
2,936715.0625,0.0010534927910271,0.0168558846564335,15789.1610494439
3,843360.75,0.0239295112120651,0.382872179393041,322899.368367049
4,1751274.875,0.0546224233172706,0.873958773076329,1530542.0410744
5,1755698,0.0136875257435917,0.219000411897468,384498.58516756
6,149435.21875,0.000533217320902581,0.0085314771344413,1274.90315184586
7,288072.625,0.0222241294380255,0.355586071008408,102434.612888828
8,1847969.875,0.0410563934140216,0.656902294624346,1213935.65128417
9,1639925.5,0.0625,1,1639925.5
10,2669820,0.0625,1,2669820
11,3834799,0.0597722457058955,0.956355931294328,3667432.76897156
12,4315000,0.0475426110343734,0.760681776549974,3282341.86581314
13,787491.125,0.0194085428075267,0.310536684920428,244544.883361758
14,1368918,5.53843974970771e-05,0.000886150359953234,1213.06717844646
15,1879516.75,0.0359365243320445,0.574984389312713,1080692.79070176
16,8900802,0.0625,1,8900802
17,13879699,0.0625,1,13879699
18,19141834,0.0625,1,19141834
19,21310154,0.0625,1,21310154
20,8559122,0.0579493299780712,0.927189279649139,7935926.1616091
21,3302544.75,0.00335894714278792,0.0537431542846067,177489.172031068
22,142693.734375,0.00285340535792862,0.0456544857268579,6514.60905933549
23,395831.6875,0.0286398514399375,0.458237623039,181384.971603516
24,964027.875,0.0515554719236798,0.824887550778877,795214.592691315
25,20998718,0.0625,1,20998718
26,34427548,0.0625,1,34427548
27,27259394,0.0625,1,27259394
28,24951334,0.0532251267931187,0.851602028689899,21248606.6529193
29,18474082,0.0445154064969027,0.712246503950443,13158100.3181938
30,12731184,0.0133016223967409,0.212825958347854,2709526.43570287
31,1383179.25,0.00756347876569592,0.121015660251135,167386.350184419
32,1629475.375,0.0593962099768346,0.950339359629354,1548554.5844093
33,5189239,0.0625,1,5189239
34,44830352,0.0625,1,44830352
35,58013424,0.0625,1,58013424
36,45069056,0.0625,1,45069056
37,44804056,0.0243232380225918,0.389171808361469,17436475.4954485
38,4203065,0.00213604752139139,0.0341767603422623,143647.145207951
39,10507845,0.0391162487788461,0.625859980461538,6576439.66639287
40,18187068,0.0485560906640501,0.776897450624802,14129486.7635399
41,64118476,0.0447564074478324,0.716102519165319,45915402.188641
42,60984776,0.0590182286466,0.944291658345599,57587415.2628749
43,45576680,0.0353380027213822,0.565408043542115,25769421.4699451
44,44906756,0.0165836792228935,0.265338867566296,11915507.783116
45,41343272,0.00621207256012437,0.0993931609619899,4109238.48859133
