"id","Value","area","ratio","rValue"
1,75994.96875,0.00417027690575004,0.0667244304920006,5070.72101010113
2,816089.125,0.0010534927910271,0.0168558846564335,13755.9041603698
3,730897.875,0.0239295112120651,0.382872179393041,279840.462314992
4,1473385.625,0.0546224233172706,0.873958773076329,1287678.2930933
5,1450277.5,0.0136875257435917,0.219000411897468,317611.36986563
6,156668.359375,0.000533217320902581,0.0085314771344413,1336.61252569825
7,287008.65625,0.0222241294380255,0.355586071008408,102056.28042134
8,1533880.625,0.0410563934140216,0.656902294624346,1007609.70224233
9,1346459.75,0.0625,1,1346459.75
10,2207315.5,0.0625,1,2207315.5
11,3136658.5,0.0597722457058955,0.956355931294328,2999761.96091977
12,3472016.5,0.0475426110343734,0.760681776549974,2641099.67943082
13,648771.125,0.0194085428075267,0.310536684920428,201467.234429597
14,1183819,5.53843974970771e-05,0.000886150359953234,1049.04163296948
15,1567721.625,0.0359365243320445,0.574984389312713,901415.461162959
16,7745738.5,0.0625,1,7745738.5
17,11991652,0.0625,1,11991652
18,15747719,0.0625,1,15747719
19,17560648,0.0625,1,17560648
20,6830373.5,0.0579493299780712,0.927189279649139,6333049.08519957
21,2627468.25,0.00335894714278792,0.0537431542846067,141208.431537656
22,149155.125,0.00285340535792862,0.0456544857268579,6809.60052540021
23,409591.375,0.0286398514399375,0.458237623039,187690.178097275
24,876982.1875,0.0515554719236798,0.824887550778877,723411.688723577
25,18103750,0.0625,1,18103750
26,29610928,0.0625,1,29610928
27,22489412,0.0625,1,22489412
28,20428800,0.0532251267931187,0.851602028689899,17397207.5237002
29,14877240,0.0445154064969027,0.712246503950443,10596262.1784317
30,10167897,0.0133016223967409,0.212825958347854,2163992.42340727
31,1202187,0.00756347876569592,0.121015660251135,145483.453550331
32,1457519.5,0.0593962099768346,0.950339359629354,1385138.1482773
33,4264456,0.0625,1,4264456
34,38428236,0.0625,1,38428236
35,49959412,0.0625,1,49959412
36,37339200,0.0625,1,37339200
37,37077232,0.0243232380225918,0.389171808361469,14429413.4264777
38,3482876.75,0.00213604752139139,0.0341767603422623,119033.443986387
39,8593525,0.0391162487788461,0.625859980461538,5378343.38859574
40,14793885,0.0485560906640501,0.776897450624802,11493331.5413365
41,54971940,0.0447564074478324,0.716102519165319,39365544.7174048
42,52108604,0.0590182286466,0.944291658345599,49205720.0852341
43,37593536,0.0353380027213822,0.565408043542115,21255687.6395901
44,37074688,0.0165836792228935,0.265338867566296,9837355.72929374
45,33433526,0.00621207256012437,0.0993931609619899,3323063.83124487
