"id","Value","area","ratio","rValue"
1,44712012,0.00206708280618959,0.0330733248990335,1478774.89976548
2,45804052,0.039938571063254,0.639017137012063,29269574.1725917
3,56704836,0.0335078161984072,0.536125059174515,30400883.5559812
4,57583488,0.00549310030154846,0.0878896048247754,5060990.0047522
5,42954368,0.00616752920981294,0.0986804673570071,4238757.10926487
6,42279192,0.0553527248919925,0.885643598271879,37444295.7349077
7,56299448,0.0625,1,56299448
8,57117376,0.0419607216904808,0.671371547047694,38346981.0884248
9,58852204,0.0300154222125882,0.480246755401412,28263580.019222
10,60365752,0.061273362848257,0.980373805572112,59181002.0144624
11,65999484,0.0194367566872188,0.310988106995501,20525054.5918399
12,58109884,0.000443089128388727,0.00708942605421963,411965.72563728
13,55699684,0.0146048383068691,0.233677412909906,13015758.0570193
14,63153916,0.000816211616966623,0.013059385871466,824751.358338149
