"id","Value","area","ratio","rValue"
1,1367740,0.00383175357705518,0.0613080572328828,83853.4821997032
2,156429.53125,0.00713186498892892,0.114109839822863,17850.148754503
3,235121.03125,0.0546135409534767,0.873816655255627,205452.673107129
4,179108.8125,0.0464528201823086,0.743245122916938,133121.751362069
5,1342176.75,0.00516847175795072,0.0826955481272114,110992.042024849
6,919352.3125,0.00109877176222017,0.0175803481955226,16162.5337681089
7,187095.109375,0.00749290124690459,0.119886419950473,22430.162853211
8,87259.546875,0.0329579897681705,0.527327836290727,46014.388049303
9,116463.7734375,0.0625,1,116463.7734375
10,98266.3125,0.0625,1,98266.3125
11,5906425,0.0317316566227746,0.507706505964394,2998730.39949075
12,6057227,0.0488275145750721,0.781240233201153,4732149.43403232
13,731138.4375,0.0258905592728039,0.414248948364863,302873.328843504
14,181396.375,0.0103935992017845,0.166297587228552,30165.7794945056
15,76993.71875,0.00158904189136903,0.0254246702619044,1957.53991145656
16,3849.68579101562,0.0566741301504528,0.906786082407245,3490.8414969339
17,61871.3828125,0.0625,1,61871.3828125
18,23050.12109375,0.0625,1,23050.12109375
19,867113.5,0.0617397032056995,0.987835251291192,856565.282170485
20,8193594,0.0610748063834583,0.977196902135333,8006754.67415466
21,1434512.125,0.0603743215754441,0.965989145207106,1385723.14141798
22,142525.71875,0.0227339874286017,0.363743798857627,51842.8463730388
23,1711254.625,0.00504338743005679,0.0806941988809086,138088.321045625
24,24967.80078125,0.0587996364162471,0.940794182659953,23489.5617288126
25,17482,0.0625,1,17482
26,80854.25,0.0625,1,80854.25
27,101217.0703125,0.0581994573460714,0.931191317537143,94252.4570615465
28,14125403,0.0149221494385174,0.238754391016279,3372501.99112452
29,1550394.25,0.0557922661837015,0.892676258939225,1384000.13897088
30,3555.9501953125,0.0409729115078995,0.655566584126391,2331.16212286459
31,19103566,0.0305145732886339,0.488233172618142,9326994.63650007
32,787446,0.0625,1,787446
33,0,0.0625,1,0
34,8741,0.0625,1,8741
35,44985.36328125,0.0567378029885574,0.907804847816918,40837.9308675239
36,157448.78125,0.00154537788684625,0.02472604618954,3893.08583767428
37,1201911.125,0.0259643155902603,0.415429049444165,499308.796175116
38,0,0.0485982703779411,0.777572326047058,0
39,11334907,0.0478685226565725,0.765896362505159,8681364.04063427
40,5027997,0.0625,1,5027997
41,243743.328125,0.0625,1,243743.328125
42,3346529.75,0.0625,1,3346529.75
43,33265244,0.0408544433937251,0.653671094299602,21744528.4476233
44,24443828,0.00118518648049686,0.0189629836879498,463527.91163505
45,3386043.75,0.00497704711522553,0.0796327538436085,269639.988447439
46,18823036,0.0457615916463687,0.732185466341899,13781953.3916304
47,7715182,0.0598673636143194,0.957877817829111,7390201.69831444
48,9194722,0.048459087357886,0.775345397726176,7129085.38607162
49,7822019.5,0.0213412767662721,0.341460428260354,2670910.12833084
50,110638624,0.00460106809564379,0.0736170895303006,8144893.48851727
51,15726332,0.0140035897009747,0.224057435215595,3523601.61326894
52,7546902.5,0.0180742123047706,0.28918739687633,2182469.08845447
