"id","Value","area","ratio","rValue"
1,654363.375,0.00383175357705518,0.0613080572328828,40117.7472456024
2,84340.4453125,0.00713186498892892,0.114109839822863,9624.07470519828
3,121742.0234375,0.0546135409534767,0.873816655255627,106380.207724208
4,90355.40625,0.0464528201823086,0.743245122916938,67156.2150244911
5,691292.8125,0.00516847175795072,0.0826955481272114,57166.8380460891
6,457121.09375,0.00109877176222017,0.0175803481955226,8036.34799564315
7,102669.8203125,0.00749290124690459,0.119886419950473,12308.717194224
8,49993.046875,0.0329579897681705,0.527327836290727,26362.7252381747
9,79255.5546875,0.0625,1,79255.5546875
10,82020.28125,0.0625,1,82020.28125
11,3596545.25,0.0317316566227746,0.507706505964394,1825989.42242034
12,3661401.25,0.0488275145750721,0.781240233201153,2860433.96639299
13,405097.90625,0.0258905592728039,0.414248948364863,167811.38164887
14,103492.171875,0.0103935992017845,0.166297587228552,17210.4984798551
15,50473.75,0.00158904189136903,0.0254246702619044,1283.2784506318
16,4326.32177734375,0.0566741301504528,0.906786082407245,3923.04837571069
17,47921.9609375,0.0625,1,47921.9609375
18,32255.16796875,0.0625,1,32255.16796875
19,672141.3125,0.0617397032056995,0.987835251291192,663964.882336629
20,5058747.5,0.0610748063834583,0.977196902135333,4943392.38568486
21,737751.3125,0.0603743215754441,0.965989145207106,712659.759737296
22,87229.1171875,0.0227339874286017,0.363743798857627,31729.0504567784
23,841738.25,0.00504338743005679,0.0806941988809086,67923.393751168
24,19283.810546875,0.0587996364162471,0.940794182659953,18142.0967820166
25,22441.40234375,0.0625,1,22441.40234375
26,89765.6015625,0.0625,1,89765.6015625
27,119083.671875,0.0581994573460714,0.931191317537143,110889.681310442
28,8703934,0.0149221494385174,0.238754391016279,2078102.46161589
29,855717.25,0.0557922661837015,0.892676258939225,763878.473439761
30,6268.99072265625,0.0409729115078995,0.655566584126391,4109.7408339718
31,12031651,0.0305145732886339,0.488233172618142,5874251.13956424
32,361089.3125,0.0625,1,361089.3125
33,0,0.0625,1,0
34,3740.2333984375,0.0625,1,3740.2333984375
35,10825.7880859375,0.0567378029885574,0.907804847816918,9827.70290585269
36,75780.5234375,0.00154537788684625,0.02472604618954,1873.75272278315
37,633168.0625,0.0259643155902603,0.415429049444165,263036.406342778
38,0,0.0485982703779411,0.777572326047058,0
39,7021233.5,0.0478685226565725,0.765896362505159,5377537.19794937
40,2760589.5,0.0625,1,2760589.5
41,109477.2578125,0.0625,1,109477.2578125
42,1648886.5,0.0625,1,1648886.5
43,21987294,0.0408544433937251,0.653671094299602,14372458.5296671
44,14521159,0.00118518648049686,0.0189629836879498,275364.501247125
45,1650008.125,0.00497704711522553,0.0796327538436085,131394.690858079
46,12080463,0.0457615916463687,0.732185466341899,8845139.43528106
47,4529782,0.0598673636143194,0.957877817829111,4338977.69740159
48,5043293,0.048459087357886,0.775345397726176,3910294.01693464
49,4243925.5,0.0213412767662721,0.341460428260354,1449132.61873504
50,76336904,0.00460106809564379,0.0736170895303006,5619700.69623396
51,10082504,0.0140035897009747,0.224057435215595,2259059.98679098
52,4937884,0.0180742123047706,0.28918739687633,1427973.82003728
