"id","Value","area","ratio","rValue"
1,0,0.00373060448064714,0.0596896716903543,0
2,14302.3818359375,0.0282610004329639,0.452176006927423,6467.19390812552
3,3232338,0.0108082733068645,0.172932372909833,558975.880386623
4,2783989,0.00847338735791635,0.135574197726662,377437.075154851
5,1322533.75,0.00712249403880601,0.113959904620896,150715.820007916
6,7151.19091796875,0.0182311290431247,0.291698064689996,2085.98855100016
7,1673378.5,0.0422464039130872,0.675942462609395,1131107.58416762
8,1594820,0.0382539776099411,0.612063641759057,976131.33715018
