"id","Value","area","ratio","rValue"
1,23665712,0.01405806807592,0.224929089214719,5323107.04577785
2,26144920,0.0515741222932236,0.825185956691578,21574420.8228248
3,44379964,0.0282816781844231,0.45250685095077,20082237.7549485
4,33127674,0.0505829300295242,0.809326880472387,26811117.0557262
5,29981364,0.0616426544557865,0.986282471292583,29570093.7786425
6,21503792,0.0614993690759603,0.983989905215364,21159514.2518509
7,13436817,0.0543130314289589,0.869008502863343,11676708.2244187
8,16136558,0.0527701804230863,0.84432288676938,13624465.2330815
