"id","Value","area","ratio","rValue"
1,1614832.5,0.000455934971218519,0.0072949595394963,11780.1377505637
2,5517660.5,0.00956878091280986,0.153100494604958,844756.551612239
3,8596881,0.00645583281069416,0.103293324971107,888000.422870932
4,48495172,0.000494266406416862,0.0079082625026698,383512.550288122
5,42985348,0.0546782959877744,0.874852735804391,37605849.2973038
6,17090682,0.0624999999999996,0.999999999999993,17090681.9999999
7,19726630,0.0614484969429595,0.983175951087353,19394748.2119983
8,12466653,0.033167735867422,0.530683773878753,6615850.46167688
9,59331848,0.0134816005738484,0.215705609181574,12798212.4167085
10,79609368,0.0539683444724161,0.863493511558658,68742172.7272855
11,63595740,0.0625,1,63595740
12,15887737,0.0624999999999996,0.999999999999993,15887736.9999999
13,13934718,0.0625,1,13934718
14,10000158,0.0594017492221374,0.950427987554198,9504430.04316401
15,5114748.5,0.00265945087776307,0.0425512140442091,217638.758205797
16,40229416,0.00587553795308611,0.0940086072493777,3781911.36861583
17,38393040,0.0266231912384456,0.42597105981513,16354323.9383247
18,32865082,0.0273820792538903,0.438113268062246,14398628.4801537
19,17857984,0.0624974753764711,0.999959606023537,17857262.6450146
20,10849508,0.0625,1,10849508
21,11609466,0.0219311967647859,0.350899148236574,4073751.73088147
22,29588820,0.0188088028331799,0.300940845330879,8904484.50314321
23,19029740,0.0511226676189322,0.817962681902915,15565617.1663152
24,12793908,0.0534233924992266,0.854774279987626,10935903.4989279
25,14643414,0.0019774087421674,0.0316385398746784,463296.237740423
26,7004686.5,1.14838525100116e-06,1.83741640160186e-05,128.705258631791
27,7700857.5,0.00180579426358987,0.028892708217438,222498.628771569
