"id","Value","area","ratio","rValue"
1,277497.375,0.000455934971218519,0.0072949595394963,2024.33212294143
2,1224203.375,0.00956878091280986,0.153100494604958,187426.142209559
3,1738160.125,0.00645583281069416,0.103293324971107,179540.338643444
4,16068664,0.000494266406416862,0.0079082625026698,127075.2129792
5,10210221,0.0546782959877744,0.874852735804391,8932439.77501745
6,3296899.5,0.0624999999999996,0.999999999999993,3296899.49999998
7,4339896,0.0614484969429595,0.983175951087353,4266881.3774202
8,2416063.25,0.033167735867422,0.530683773878753,1282165.56343976
9,20616882,0.0134816005738484,0.215705609181574,4447177.09123462
10,30141084,0.0539683444724161,0.863493511558658,26026630.4653445
11,16595845,0.0625,1,16595845
12,3071780.75,0.0624999999999996,0.999999999999993,3071780.74999998
13,2801205.5,0.0625,1,2801205.5
14,1819562.375,0.0594017492221374,0.950427987554198,1729363.00630059
15,1202544.75,0.00265945087776307,0.0425512140442091,51169.7390549899
16,8664800,0.00587553795308611,0.0940086072493777,814565.780094408
17,8126556.5,0.0266231912384456,0.42597105981513,3461677.88495253
18,6834893.5,0.0273820792538903,0.438113268062246,2994457.5281424
19,3329113.5,0.0624974753764711,0.999959606023537,3328979.02386764
20,2094624.875,0.0625,1,2094624.875
21,2284508.25,0.0219311967647859,0.350899148236574,801631.999064427
22,6090949,0.0188088028331799,0.300940845330879,1833015.34092727
23,3635443.5,0.0511226676189322,0.817962681902915,2973657.11516652
24,2579882.5,0.0534233924992266,0.854774279987626,2205217.20639018
25,3060076.25,0.0019774087421674,0.0316385398746784,96816.3444551812
26,1269728.125,1.14838525100116e-06,1.83741640160186e-05,23.3301928245018
27,1405678.75,0.00180579426358987,0.028892708217438,40613.865971203
