"id","Value","area","ratio","rValue"
1,137082.21875,0.0233262007993139,0.373219212789022,51161.7177692475
2,18696.55078125,0.0376681572064306,0.60269051530289,11268.2338247382
3,20342.359375,0.00584430137564823,0.0935088220103717,1902.19006206789
4,101315.421875,0.033328761048274,0.533260176772384,54027.4797788312
5,186172.71875,0.061963072938468,0.991409167015488,184573.340016946
6,133186.15625,0.0615349175664105,0.984558681062568,131129.586333293
7,8147.732421875,0.0368261824235984,0.589218918777575,4800.79808810618
8,18072.595703125,0.00100027889593435,0.0160044623349496,289.242177225435
9,905212.5625,0.000549644951153311,0.00879431921845298,7960.72823517882
10,498468.90625,0.0194213586495774,0.310741738393238,154895.094463101
11,89097.0546875,0.0610734070506099,0.977174512809758,87063.3710070422
12,54364.82421875,0.0625,1,54364.82421875
13,45445.65625,0.0625,1,45445.65625
14,167028.515625,0.0560044202267363,0.896070723627781,149669.362862568
15,64058.6328125,0.0534927773569098,0.855884437710557,54826.7869252336
16,22180.21875,0.00991920922729436,0.15870734763671,3520.16368781452
17,1746652.375,0.0218673088502646,0.349876941604233,611113.391010771
18,2918213,0.0625,1,2918213
19,1963026.875,0.0625,1,1963026.875
20,884391.5,0.0625,1,884391.5
21,325091.71875,0.0625,1,325091.71875
22,429769.25,0.0625,1,429769.25
23,396822.0625,0.0625,1,396822.0625
24,84282.34375,0.0613614493539102,0.981783189662564,82746.9882791116
25,42229.96484375,0.0263639195594905,0.421822712951848,17813.5583382518
26,5803719,0.000213498054281033,0.00341596886849653,19825.3234255018
27,3709777.25,0.0534267567785344,0.854828108456551,3171221.86941264
28,4669630.5,0.0625,1,4669630.5
29,3691938.75,0.0625,1,3691938.75
30,2262441.5,0.0625,1,2262441.5
31,602768.875,0.0625,1,602768.875
32,1133092.875,0.0625,1,1133092.875
33,482566.3125,0.0625,1,482566.3125
34,759088.3125,0.0625,1,759088.3125
35,722535.4375,0.0381372203627021,0.610195525803234,440887.891196782
36,12349986,0.00208877894648635,0.0334204631437816,412742.251939218
37,10563128,0.025815003783181,0.413040060530895,4362995.0285156
38,9527198,0.0279180585454131,0.44668893672661,4255693.94460389
39,5035130.5,0.0625,1,5035130.5
40,5996365.5,0.0625,1,5996365.5
41,3287702.75,0.0625,1,3287702.75
42,3214342.25,0.0625,1,3214342.25
43,1479928.125,0.0625,1,1479928.125
44,1006327.25,0.0625,1,1006327.25
45,268188.59375,0.0576694374378988,0.922710999006382,247460.565261179
46,227632.46875,0.0305702060038604,0.489123296061767,111340.343405677
47,125498.5546875,0.0232778599301396,0.372445758882233,46741.4044392094
48,10922862,0.0121830547236497,0.194928875578395,2129181.20775798
49,11385826,0.0623898295755871,0.998237273209393,11365755.8994766
50,9724865,0.0625,1,9724865
51,6924920.5,0.0625,1,6924920.5
52,6153909.5,0.0624330983573579,0.998929573717726,6147322.19353246
53,1475527.875,0.0551392446784007,0.882227914854411,1301751.88047081
54,1074719.625,0.0476877925138559,0.763004680221695,820016.103801105
55,246516,0.039343152744031,0.629490443904496,155179.466269561
56,77567.8984375,0.0399583507680071,0.639333612288113,49591.7647056444
57,232179.15625,0.00934192485209578,0.149470797633532,34704.0036785681
58,12935268,0.00505423175211749,0.0808677080338799,1046045.47596399
59,13929951,0.0372865560685615,0.596584897096984,8310398.38390102
60,14569632,0.0155552421037884,0.248883873660615,3626146.44996965
61,14221781,0.00346733098944931,0.0554772958311889,788985.951783381
62,14038831,0.0059179659689356,0.0946874555029697,1329301.18562621
63,14020755,0.000143035507841221,0.00228856812545953,32087.4529878773
64,15216995,0.047341053028058,0.757456848448927,11526217.0755631
65,8770359,0.0625,1,8770359
66,9151036,0.0625,1,9151036
67,5650181,0.0625,1,5650181
68,760872.6875,0.0498733177532316,0.797973084051706,607155.925015085
69,171263.734375,0.00325643338844184,0.0521029342150694,8923.34308556775
70,281473.75,1.46373507697175e-05,0.00023419761231548,65.9204801794843
71,13966170,0.0288020749064936,0.460833198503897,6436074.79194918
72,15080282,0.0625,1,15080282
73,15988258,0.0597727421863221,0.956363874981154,15290592.3750784
74,16431104,0.059394870428538,0.950317926856608,15614772.6892453
75,9911248,0.0450240907472153,0.720385451955445,7139918.8699225
76,12745325,0.0105360149102925,0.16857623856468,2148558.94778438
77,13413112,0.0331914129374661,0.531062606999458,7123202.22669572
78,16225603,0.0625,1,16225603
79,9856642,0.0625,1,9856642
80,10803158,0.0625,1,10803158
81,1957017.5,0.0625,1,1957017.5
82,198419.953125,0.0624960180586093,0.999936288937749,198407.311579015
83,138744.296875,0.0104803087455386,0.167684939928618,23265.3290869227
84,12156994,0.0210707800163405,0.337132480261449,4098517.53974355
85,17433844,0.0625,1,17433844
86,27259922,0.0625,1,27259922
87,25658854,0.0625,1,25658854
88,17041240,0.0625,1,17041240
89,19718046,0.0625,1,19718046
90,12589348,0.0625,1,12589348
91,12339286,0.0625,1,12339286
92,7273545,0.0625,1,7273545
93,4734997,0.0625,1,4734997
94,545149.125,0.0625,1,545149.125
95,239965.890625,0.0505461306618439,0.808738090589502,194069.556190672
96,285362.28125,0.016638367715911,0.266213883454576,75967.4010830195
97,18681856,0.0314514167424188,0.5032226678787,9401133.4172457
